1,1,50
2,51,100
3,101,150
4,151,200
5,201,250
6,251,300
7,301,350
8,351,400
9,401,450
10,451,500
11,501,550
12,551,600
13,601,650
14,651,700
15,701,750
16,751,800
17,801,850
18,851,900
19,901,950
20,951,1000
21,1001,1050
22,1051,1100
23,1101,1150
24,1151,1200
25,1201,1250
26,1251,1300
27,1301,1350
28,1351,1400
29,1401,1450
30,1451,1500
31,1501,1550
32,1551,1600
33,1601,1650
34,1651,1700
35,1701,1750
36,1751,1800
37,1801,1850
38,1851,1900
39,1901,1950
40,1951,2000
41,2001,2050
42,2051,2100
43,2101,2150
44,2151,2200
45,2201,2250
46,2251,2300
47,2301,2350
48,2351,2400
49,2401,2450
50,2451,2500
51,2501,2550
52,2551,2600
53,2601,2650
54,2651,2700
55,2701,2750
56,2751,2800
57,2801,2850
58,2851,2900
59,2901,2950
60,2951,3000
61,3001,3050
62,3051,3100
63,3101,3150
64,3151,3200
65,3201,3250
66,3251,3300
67,3301,3350
68,3351,3400
69,3401,3450
70,3451,3500
71,3501,3550
72,3551,3600
73,3601,3650
74,3651,3700
75,3701,3750
76,3751,3800
77,3801,3850
78,3851,3900
79,3901,3950
80,3951,4000
81,4001,4050
82,4051,4100
83,4101,4150
84,4151,4200
85,4201,4250
86,4251,4300
87,4301,4350
88,4351,4400
89,4401,4450
90,4451,4500
91,4501,4550
92,4551,4600
93,4601,4650
94,4651,4700
95,4701,4750
96,4751,4800
97,4801,4850
98,4851,4900
99,4901,4950
100,4951,5000
101,5001,5050
102,5051,5100
103,5101,5150
104,5151,5200
105,5201,5250
106,5251,5300
107,5301,5350
108,5351,5400
109,5401,5450
110,5451,5500
111,5501,5550
112,5551,5600
113,5601,5650
114,5651,5700
115,5701,5750
116,5751,5800
117,5801,5850
118,5851,5900
119,5901,5950
120,5951,6000
121,6001,6050
122,6051,6100
123,6101,6150
124,6151,6200
125,6201,6250
126,6251,6300
127,6301,6350
128,6351,6400
129,6401,6450
130,6451,6500
131,6501,6550
132,6551,6600
133,6601,6650
134,6651,6700
135,6701,6750
136,6751,6800
137,6801,6850
138,6851,6900
139,6901,6950
140,6951,7000
141,7001,7050
142,7051,7100
143,7101,7150
144,7151,7200
145,7201,7250
146,7251,7300
147,7301,7350
148,7351,7400
149,7401,7450
150,7451,7500
151,7501,7550
152,7551,7600
153,7601,7650
154,7651,7700
155,7701,7750
156,7751,7800
157,7801,7850
158,7851,7900
159,7901,7950
160,7951,8000
161,8001,8050
162,8051,8100
163,8101,8150
164,8151,8200
165,8201,8250
166,8251,8300
167,8301,8350
168,8351,8400
169,8401,8450
170,8451,8500
171,8501,8550
172,8551,8600
173,8601,8650
